Date,Value
2012-10-28,46
2012-11-04,47
2012-11-11,47
2012-11-18,48
2012-11-25,50
2012-12-02,51
2012-12-09,49
2012-12-16,49
2012-12-23,50
2012-12-30,50
2013-01-06,50
2013-01-13,47
2013-01-20,47
2013-01-27,48
2013-02-03,48
2013-02-10,50
2013-02-17,50
2013-02-24,50
2013-03-03,50
2013-03-10,50
2013-03-17,49
2013-03-24,49
2013-03-31,49
2013-04-07,49
2013-04-14,49
2013-04-21,48
2013-04-28,51
2013-05-05,50
2013-05-12,50
2013-05-19,52
2013-05-26,53
2013-06-02,53
2013-06-09,58
2013-06-16,59
2013-06-23,60
2013-06-30,58
2013-07-07,59
2013-07-14,58
2013-07-21,57
2013-07-28,59
2013-08-04,58
2013-08-11,57
2013-08-18,66
2013-08-25,70
2013-09-01,65
2013-09-08,60
2013-09-15,59
2013-09-22,56
2013-09-29,56
2013-10-06,59
2013-10-13,60
2013-10-20,58
2013-10-27,56
2013-11-03,55
2013-11-10,55
2013-11-17,54
2013-11-24,56
2013-12-01,56
2013-12-08,56
2013-12-15,57
2013-12-22,60
2013-12-29,55
2014-01-05,54
2014-01-12,54
2014-01-19,55
2014-01-26,55
2014-02-02,52
2014-02-09,53
2014-02-16,53
2014-02-23,52
2014-03-02,55
2014-03-09,57
2014-03-16,70
2014-03-23,56
2014-03-30,56
2014-04-06,55
2014-04-13,57
2014-04-20,56
2014-04-27,55
2014-05-04,58
2014-05-11,61
2014-05-18,62
2014-05-25,58
2014-06-01,57
2014-06-08,57
2014-06-15,56
2014-06-22,55
2014-06-29,58
2014-07-06,57
2014-07-13,58
2014-07-20,58
2014-07-27,60
2014-08-03,57
2014-08-10,57
2014-08-17,58
2014-08-24,56
2014-08-31,57
2014-09-07,58
2014-09-14,59
2014-09-21,56
2014-09-28,58
2014-10-05,58
2014-10-12,57
2014-10-19,55
2014-10-26,57
2014-11-02,58
2014-11-09,58
2014-11-16,57
2014-11-23,60
2014-11-30,62
2014-12-07,63
2014-12-14,68
2014-12-21,68
2014-12-28,64
2015-01-04,66
2015-01-11,65
2015-01-18,69
2015-01-25,69
2015-02-01,66
2015-02-08,65
2015-02-15,63
2015-02-22,63
2015-03-01,65
2015-03-08,74
2015-03-15,75
2015-03-22,68
2015-03-29,68
2015-04-05,68
2015-04-12,64
2015-04-19,64
2015-04-26,67
2015-05-03,67
2015-05-10,67
2015-05-17,67
2015-05-24,67
2015-05-31,69
2015-06-07,68
2015-06-14,70
2015-06-21,68
2015-06-28,73
2015-07-05,73
2015-07-12,72
2015-07-19,72
2015-07-26,71
2015-08-02,73
2015-08-09,73
2015-08-16,74
2015-08-23,82
2015-08-30,75
2015-09-06,73
2015-09-13,70
2015-09-20,67
2015-09-27,68
2015-10-04,68
2015-10-11,67
2015-10-18,66
2015-10-25,65
2015-11-01,66
2015-11-08,65
2015-11-15,65
2015-11-22,69
2015-11-29,69
2015-12-06,72
2015-12-13,75
2015-12-20,81
2015-12-27,70
2016-01-03,69
2016-01-10,72
2016-01-17,71
2016-01-24,67
2016-01-31,70
2016-02-07,69
2016-02-14,68
2016-02-21,71
2016-02-28,69
2016-03-06,70
2016-03-13,69
2016-03-20,69
2016-03-27,70
2016-04-03,67
2016-04-10,67
2016-04-17,80
2016-04-24,69
2016-05-01,69
2016-05-08,67
2016-05-15,68
2016-05-22,67
2016-05-29,68
2016-06-05,70
2016-06-12,68
2016-06-19,100
2016-06-26,93
2016-07-03,79
2016-07-10,76
2016-07-17,73
2016-07-24,71
2016-07-31,71
2016-08-07,67
2016-08-14,66
2016-08-21,67
2016-08-28,69
2016-09-04,70
2016-09-11,66
2016-09-18,65
2016-09-25,66
2016-10-02,67
2016-10-09,69
2016-10-16,65
2016-10-23,67
2016-10-30,67
2016-11-06,100
2016-11-13,82
2016-11-20,82
2016-11-27,76
2016-12-04,76
2016-12-11,74
2016-12-18,81
2016-12-25,75
2017-01-01,72
2017-01-08,70
2017-01-15,72
2017-01-22,70
2017-01-29,70
2017-02-05,67
2017-02-12,69
2017-02-19,67
2017-02-26,71
2017-03-05,66
2017-03-12,68
2017-03-19,68
2017-03-26,74
2017-04-02,72
2017-04-09,71
2017-04-16,70
2017-04-23,70
2017-04-30,73
2017-05-07,70
2017-05-14,71
2017-05-21,71
2017-05-28,72
2017-06-04,72
2017-06-11,74
2017-06-18,72
2017-06-25,73
2017-07-02,76
2017-07-09,76
2017-07-16,77
2017-07-23,77
2017-07-30,79
2017-08-06,77
2017-08-13,73
2017-08-20,71
2017-08-27,72
2017-09-03,74
2017-09-10,75
2017-09-17,72
2017-09-24,70
2017-10-01,71
2017-10-08,71
2017-10-15,70
